302	959
4786	2719
2959	303
10002	3762
1510	890
339	735
9997	3788
10365	1432
5824	869
8454	1346
464	820
2583	2585
1658	1716
9695	108
1168	573
4211	2403
3993	2131
9474	729
124	195
4457	3238
1547	862
7864	669
4643	1189
4709	77
262	903
1477	771
5546	3739
12484	1595
6357	816
659	882
7981	1350
636	911
5409	57
561	890
7130	211
7471	328
2511	2543
1023	744
1889	1903
10196	861
8160	40
6611	2458
880	392
593	401
853	286
5176	1215
10045	3095
4985	3674
5231	12
7242	2949
5511	770
4475	1290
10365	4606
4920	3664
10045	1515
4177	515
187	782
5094	861
9433	34
4557	861
6137	1444
10045	4531
147	546
1302	850
2552	1785
5451	875
14564	81
6289	816
12846	4216
8183	824
6640	2063
1364	1580
1902	2103
4172	2154
5637	986
5861	883
3584	572
8461	4226
3573	1723
215	743
12499	1637
6424	3641
8149	1620
2284	2397
5323	882
6837	1388
4151	1931
4061	1604
4248	2395
836	770
242	735
755	248
5212	730
1245	813
5606	108
1968	481
5751	134
2962	2752
4646	3600
1327	978
146	489
5603	828
827	1331
385	1040
418	456
5061	747
1724	1870
1894	481
627	206
14323	4608
5502	875
11979	4153
4941	1432
3293	933
3933	3285
5969	3790
133	415
4195	3185
6280	2168
2495	2523
6062	3140
3419	3048
539	477
7976	1201
1816	151
795	699
5502	868
6648	172
310	973
9862	376
6039	1076
1868	2035
13345	624
231	859
6901	1551
6502	3255
10818	4645
4134	3419
6290	2327
4170	3446
7587	2192
12499	1659
2117	2254
153	648
5482	339
7358	2731
7629	2928
1165	865
2002	2177
1612	1734
791	795
12918	3563
14018	1535
2962	560
7642	698
12585	339
3170	1896
3262	3002
6148	882
9635	1179
322	864
927	45
1715	245
951	986
11042	929
3266	532
5466	1607
330	873
1064	795
266	912
7248	1589
9795	1081
7263	1716
4028	3358
6226	2327
3903	3260
7386	3934
7325	4004
1430	845
7080	2949
8236	1191
2914	1910
3338	1213
4753	754
105	180
109	217
9682	4410
6165	533
1261	478
7741	1258
697	835
3018	2828
11726	3754
362	806
1108	817
7144	329
453	454
2956	2742
9681	546
10349	698
4241	3487
1255	57
117	286
6514	257
7132	1444
486	886
3118	2559
4894	139
4164	1716
45	88
169	735
2949	1903
2594	464
2043	1967
816	735
7105	1444
1969	2162
907	815
5524	796
105	149
834	287
12142	871
5446	820
1544	861
5684	3641
935	822
876	757
5355	1037
12438	1608
971	248
4214	2888
6146	396
3060	481
241	767
722	964
1789	1948
12439	1593
1989	1573
1172	287
12012	4679
5420	3719
1836	1977
1094	900
2093	745
4253	1786
9840	1040
10703	4295
584	243
12789	134
880	753
395	865
857	862
1206	756
5139	1037
9889	109
1217	875
8374	883
891	925
5949	1496
7703	4081
7518	3542
5784	3774
12432	4234
3216	2974
4198	733
10703	4627
2408	2103
4177	1735
6271	1185
12441	1347
8149	1109
2692	859
555	1156
3509	1752
6399	886
8244	1028
1867	1580
963	747
1779	1000
7268	564
9870	473
4365	3540
1933	1423
11969	649
869	819
1520	1589
3819	1175
23	46
6589	2458
1251	748
252	890
1713	1850
160	259
9227	4238
3270	978
2567	491
75	109
2207	2301
1344	883
147	575
80	15
1535	886
147	536
3132	2925
7858	4101
3634	1716
899	1277
3256	1969
6093	1967
1220	1502
1342	990
14240	1081
8031	328
5040	1006
1786	1944
10703	1113
760	861
5607	1906
8080	4146
84	121
2019	2186
4628	967
12484	55
395	286
2966	2808
12441	1594
10504	792
903	770
7742	3242
131	351
12499	1598
1256	1537
2521	1974
1215	573
7920	1643
2226	1716
2517	1716
8469	820
1341	864
10045	970
680	869
51	95
1700	1775
4631	1028
3262	2386
1989	1861
6217	2200
6321	74
161	703
2490	2531
1102	1467
9617	21
8041	728
6142	1139
5230	760
3985	1482
2239	1285
2268	2390
1013	1099
3284	1858
3119	425
3444	3058
395	744
589	967
6721	3547
604	1040
7064	478
3903	3265
1309	846
1322	1562
7199	1715
2731	2652
5502	769
133	410
7564	2171
5040	141
8132	1345
14334	56
834	743
3744	1169
897	744
1377	1003
422	1063
2556	1247
2962	2760
7151	2949
1618	153
171	728
891	1368
4190	2174
9997	988
322	865
2787	2681
5474	859
1368	941
4623	1113
7342	3578
4556	992
989	776
3186	2954
4031	2324
1081	968
147	493
3278	177
1743	260
1254	81
3733	3176
12711	3827
3903	3256
4131	664
1886	2061
147	579
10045	4484
7349	2401
3568	325
5366	3710
2855	1411
4829	1247
12438	1613
1150	745
5628	771
4202	3479
2258	2051
3060	2850
480	1099
738	809
3964	1787
388	900
2627	1860
880	750
4640	3599
945	478
4351	3530
2380	396
6535	1345
1259	1541
3262	201
3092	2890
132	290
1661	1716
1521	397
4553	836
1869	2039
1224	245
2946	416
1103	693
105	153
3027	2832
11979	1567
2291	2023
2767	2674
3671	303
2098	2243
6329	3590
5531	927
1673	1824
6416	2327
6484	1726
588	941
12032	699
3841	177
159	99
6106	3810
5514	3729
11131	4655
1365	941
3724	1006
5483	1487
8287	766
7293	3248
6169	328
7402	3241
1003	1065
792	760
382	1033
3705	3164
105	155
4584	3586
6462	2805
392	820
2725	334
8066	81
4845	622
308	965
5822	19
147	560
9613	58
9792	12
4122	1919
3547	2361
5999	3792
29	26
1840	2002
4651	865
322	813
4524	3580
3130	2476
159	663
5747	3612
5556	3687
4298	883
310	869
3035	1402
12468	1555
2962	2768
4312	1191
352	1005
3106	2892
7308	1927
2545	1285
4327	3521
7436	3522
9850	328
3118	2896
7898	4118
5314	12
557	748
4604	744
6574	2020
8411	4221
3294	2439
4085	1075
3381	838
456	478
7705	4082
2251	2357
7011	1283
738	552
4079	1694
2754	1969
1154	861
133	409
10888	4649
10045	4498
6847	1950
6783	1950
11704	4662
1798	1513
1617	1751
11978	861
1185	1499
13746	3563
5509	40
5157	16
1779	1936
2316	2210
1007	1223
1568	940
4636	381
263	904
6515	2106
1592	1721
3640	1961
5314	1183
1138	454
4	12
1643	1716
4514	3237
753	943
12438	1604
4486	0
3156	319
1521	1660
2455	267
13261	1
7087	1454
520	1121
2233	2151
708	1242
132	378
3262	574
560	870
780	1073
1215	454
4801	3631
4604	728
2441	561
1551	759
9876	3692
3078	1876
5784	3771
14546	4727
7125	1444
4334	2528
4021	3347
957	796
4543	980
13563	56
4776	3627
3676	1975
11897	4671
4570	1030
6475	838
9227	1084
1148	684
8149	3078
607	815
834	1339
9681	507
9761	1034
973	478
3003	1478
4487	0
7981	376
160	672
1115	869
126	340
2545	1290
10045	3057
1130	287
4924	3665
7309	71
10435	4608
1668	1246
10045	3717
1521	0
4761	820
3262	495
100	138
7258	1950
3864	1716
2962	2747
8247	1018
2072	261
441	377
2301	1513
383	886
9406	21
7441	408
1430	846
265	729
2833	301
12451	1027
3516	2355
13206	1461
1238	735
1418	849
1933	2134
7850	886
6187	132
4290	2679
6763	3878
3126	2907
10045	4546
402	965
641	769
6288	311
6946	2949
445	872
5914	760
2251	2360
5443	867
6443	915
13238	141
405	846
84	120
8147	868
2586	2023
7449	4036
2326	2431
150	146
3547	2347
4310	2122
4416	3556
7160	1532
714	693
1811	1813
765	1281
2183	2287
1179	863
6175	816
503	1114
7878	1228
11930	328
10670	328
2396	838
157	660
4061	3235
2011	2179
6559	1392
1130	1020
1944	2140
6453	3833
6326	132
1220	1098
3505	1175
5828	1270
1056	1238
105	176
4628	986
3389	2831
3107	1513
9320	477
2024	2042
8094	529
2073	883
272	820
872	733
147	510
195	805
6061	1950
2251	2330
661	245
3635	477
5964	2506
423	838
105	174
2220	390
4125	2715
12484	56
8273	40
1159	731
965	286
3563	3099
1840	1996
7038	1580
5402	3717
160	690
2324	425
664	765
5585	740
10162	1551
12912	108
2734	1490
6995	3915
7886	1374
7511	1444
4249	403
1330	950
832	862
7925	286
3708	2042
4384	3547
12438	1606
748	235
1670	1821
7365	2087
1044	1401
13496	735
508	1117
5523	20
8149	1635
7115	1785
271	929
7071	1285
1356	478
4011	2241
10467	478
187	781
3090	1698
7503	2450
1926	2125
12142	864
1322	1558
6600	1191
417	894
6863	3895
4717	828
4762	1270
7854	968
11124	49
2968	1786
121	312
8310	4141
6678	940
7128	885
12468	1027
11841	1031
2311	2335
147	528
1044	1440
6487	74
3573	3113
235	866
3106	1115
12442	1346
17	18
7775	3979
4781	2823
1521	1650
999	628
897	747
11963	1345
10045	2140
8051	750
7478	1687
5075	18
7878	871
3836	859
4580	2455
4260	1012
1083	1459
3903	3263
8425	839
5537	813
218	835
5989	885
150	165
601	731
4021	3339
